League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
La Liga,Espanyol,"25,795","490,098","72,857","4,693",2017/18,La Liga|Espanyol|2017/18
La Liga,Real Betis,"25,673","487,784","65,102","4,638",2017/18,La Liga|Real Betis|2017/18
La Liga,Getafe,"25,528","485,040","75,681","4,624",2017/18,La Liga|Getafe|2017/18
La Liga,Las Palmas,"23,473","445,992","67,120",1,2017/18,La Liga|Las Palmas|2017/18
French Ligue 1,Paris Saint-Germain,"29,502","560,538","60,410","11,676",2017/18,French Ligue 1|Paris Saint-Germain|2017/18
French Ligue 1,Olympique Marseille,"26,919","511,469","57,206","11,698",2017/18,French Ligue 1|Olympique Marseille|2017/18
French Ligue 1,Olympique Lyonnais,"24,477","465,066","60,009","9,130",2017/18,French Ligue 1|Olympique Lyonnais|2017/18
French Ligue 1,AS Monaco,"23,813","452,443","51,279","9,821",2017/18,French Ligue 1|AS Monaco|2017/18
French Ligue 1,AS Saint-Etienne,"22,820","433,587","58,069","9,255",2017/18,French Ligue 1|AS Saint-Etienne|2017/18
French Ligue 1,FC Metz,"22,504","427,579","53,921","6,333",2017/18,French Ligue 1|FC Metz|2017/18
French Ligue 1,OGC Nice,"22,201","421,822","56,953","7,922",2017/18,French Ligue 1|OGC Nice|2017/18
French Ligue 1,FC Nantes,"22,181","421,435","50,443","8,557",2017/18,French Ligue 1|FC Nantes|2017/18
French Ligue 1,En Avant Guingamp,"22,165","421,130","47,759","7,066",2017/18,French Ligue 1|En Avant Guingamp|2017/18
French Ligue 1,Girondins De Bordeaux,"22,009","418,163","47,537","7,419",2017/18,French Ligue 1|Girondins De Bordeaux|2017/18
French Ligue 1,Lille OSC,"21,878","415,687","51,098","7,147",2017/18,French Ligue 1|Lille OSC|2017/18
French Ligue 1,Dijon FCO,"21,658","411,505","50,904","6,418",2017/18,French Ligue 1|Dijon FCO|2017/18
French Ligue 1,Stade Rennes,"21,642","411,204","47,352","7,542",2017/18,French Ligue 1|Stade Rennes|2017/18
French Ligue 1,Troyes AC,"21,602","410,438","54,274","8,046",2017/18,French Ligue 1|Troyes AC|2017/18
French Ligue 1,Toulouse,"21,412","406,835","48,548","1,060",2017/18,French Ligue 1|Toulouse|2017/18
French Ligue 1,Angers SCO,"21,306","404,818","51,966","6,545",2017/18,French Ligue 1|Angers SCO|2017/18
French Ligue 1,Montpellier HSC,"20,958","398,204","47,651","7,053",2017/18,French Ligue 1|Montpellier HSC|2017/18
French Ligue 1,SC Amiens,"22,086","397,541","56,120","8,164",2017/18,French Ligue 1|SC Amiens|2017/18
French Ligue 1,Caen,"20,701","393,324","47,687","8,040",2017/18,French Ligue 1|Caen|2017/18
French Ligue 1,RC Strasbourg,"20,496","389,419","47,059","8,310",2017/18,French Ligue 1|RC Strasbourg|2017/18
Eredivisie,Willem II Tilburg,"48,501","824,525","513,500","4,400",2017/18,Eredivisie|Willem II Tilburg|2017/18
Eredivisie,PSV Eindhoven,"19,647","333,999","52,379","4,400",2017/18,Eredivisie|PSV Eindhoven|2017/18
Eredivisie,PEC Zwolle,"19,605","333,290","50,902","4,069",2017/18,Eredivisie|PEC Zwolle|2017/18
Eredivisie,VVV Venlo,"19,481","331,178","52,145","3,704",2017/18,Eredivisie|VVV Venlo|2017/18
Eredivisie,FC Twente,"19,388","329,604","52,443","4,369",2017/18,Eredivisie|FC Twente|2017/18
Eredivisie,SBV Excelsior,"19,328","328,568","51,695","6,021",2017/18,Eredivisie|SBV Excelsior|2017/18
Eredivisie,Vitesse Arnhem,"19,309","328,261","51,236","4,100",2017/18,Eredivisie|Vitesse Arnhem|2017/18
Eredivisie,ADO Den Haag,"19,278","327,734","52,822","4,400",2017/18,Eredivisie|ADO Den Haag|2017/18
Eredivisie,Heracles Almelo,"19,205","326,479","52,495","4,065",2017/18,Eredivisie|Heracles Almelo|2017/18
Eredivisie,AFC Ajax,"19,090","324,524","47,500","4,400",2017/18,Eredivisie|AFC Ajax|2017/18
Eredivisie,FC Utrecht,"18,944","322,046","51,758","3,997",2017/18,Eredivisie|FC Utrecht|2017/18
Eredivisie,Sparta Rotterdam,"18,920","321,635","51,567","4,400",2017/18,Eredivisie|Sparta Rotterdam|2017/18
Eredivisie,NAC Breda,"18,866","320,715","51,886","3,876",2017/18,Eredivisie|NAC Breda|2017/18
Eredivisie,Roda JC Kerkrade,"18,763","318,978","51,000","4,086",2017/18,Eredivisie|Roda JC Kerkrade|2017/18
Eredivisie,Feyenoord,"18,744","318,655","53,320","4,400",2017/18,Eredivisie|Feyenoord|2017/18
Eredivisie,FC Groningen,"18,440","313,484","51,152","3,808",2017/18,Eredivisie|FC Groningen|2017/18
Eredivisie,SC Heerenveen,"18,083","307,417","52,523","4,034",2017/18,Eredivisie|SC Heerenveen|2017/18
Eredivisie,AZ Alkmaar,"18,023","306,388","45,000","4,218",2017/18,Eredivisie|AZ Alkmaar|2017/18
Serie A,Juventus,"33,476","636,043","78,328","13,135",2017/18,Serie A|Juventus|2017/18
Serie A,Internazionale,"29,622","562,814","77,512","7,142",2017/18,Serie A|Internazionale|2017/18
Serie A,Chievo,"27,485","522,221","58,262","8,712",2017/18,Serie A|Chievo|2017/18
Serie A,AS Roma,"25,916","492,402","61,698","10,000",2017/18,Serie A|AS Roma|2017/18
Serie A,AC Milan,"25,771","489,654","78,328","7,300",2017/18,Serie A|AC Milan|2017/18
Serie A,Benevento,"25,462","483,787","49,137","8,827",2017/18,Serie A|Benevento|2017/18
Serie A,Sassuolo,"25,404","482,681","66,876","8,000",2017/18,Serie A|Sassuolo|2017/18
Serie A,FC Crotone,"25,029","475,558","51,382","8,319",2017/18,Serie A|FC Crotone|2017/18
Serie A,Sampdoria,"24,944","473,945","54,451","8,738",2017/18,Serie A|Sampdoria|2017/18
Serie A,Napoli,"24,822","471,620","65,786","7,300",2017/18,Serie A|Napoli|2017/18
Serie A,SS Lazio,"24,513","465,747","61,852","8,582",2017/18,Serie A|SS Lazio|2017/18
Serie A,Torino,"24,424","464,060","71,581","8,000",2017/18,Serie A|Torino|2017/18
Serie A,SPAL,"24,029","456,543","57,235","8,000",2017/18,Serie A|SPAL|2017/18
Serie A,Fiorentina,"23,490","446,310","56,968","7,300",2017/18,Serie A|Fiorentina|2017/18
Serie A,Udinese,"22,771","432,653","52,011","7,142",2017/18,Serie A|Udinese|2017/18
Serie A,Atalanta,"22,645","430,262","52,177","8,795",2017/18,Serie A|Atalanta|2017/18
Serie A,Hellas Verona,"22,591","429,225","60,230","7,300",2017/18,Serie A|Hellas Verona|2017/18
Serie A,Cagliari,"22,537","428,202","49,525","3,830",2017/18,Serie A|Cagliari|2017/18
Serie A,Genoa,"22,465","426,829","50,037","8,134",2017/18,Serie A|Genoa|2017/18
Serie A,Bologna,"21,926","394,674","46,915","7,000",2017/18,Serie A|Bologna|2017/18
Scottish Premiership,Kilmarnock,"20,535","390,165","58,060","2,950",2017/18,Scottish Premiership|Kilmarnock|2017/18
Scottish Premiership,Heart of Midlothian,"19,500","390,007","58,843","2,077",2017/18,Scottish Premiership|Heart of Midlothian|2017/18
Scottish Premiership,Aberdeen,"18,209","345,980","58,975","2,911",2017/18,Scottish Premiership|Aberdeen|2017/18
Scottish Premiership,Hibernian,"18,092","343,742","59,259","2,945",2017/18,Scottish Premiership|Hibernian|2017/18
Scottish Premiership,Rangers,"16,707","317,434","59,004","5,400",2017/18,Scottish Premiership|Rangers|2017/18
Scottish Premiership,Dundee,"16,539","314,233","57,610","1,694",2017/18,Scottish Premiership|Dundee|2017/18
Scottish Premiership,Celtic,"15,894","301,985","50,215","4,851",2017/18,Scottish Premiership|Celtic|2017/18
Scottish Premiership,St Johnstone,"15,042","285,797","58,446","1,451",2017/18,Scottish Premiership|St Johnstone|2017/18
Scottish Premiership,Ross County,"13,385","254,313","58,765","1,272",2017/18,Scottish Premiership|Ross County|2017/18
Scottish Premiership,Partick Thistle,"12,350","234,649","54,187","2,236",2017/18,Scottish Premiership|Partick Thistle|2017/18
Scottish Premiership,Motherwell,"12,645","227,610","57,817","2,409",2017/18,Scottish Premiership|Motherwell|2017/18
Scottish Premiership,Hamilton Academical,"11,898","226,067","53,883","2,037",2017/18,Scottish Premiership|Hamilton Academical|2017/18
